username,natives,learning
missmasha2005,Russian,English (UK)
NLia9,Russian,English (US)
k_963,English (US),"Japanese,Korean,Spanish (Spain),Simplified Chinese (China),Esperanto"
Neqiu,Polish,"French (France),English (UK)"
sunrise92,Russian,"Portuguese (Portugal),English (US)"
WillyHsu,Traditional Chinese (Taiwan),English (US)
izuming156,Japanese,Simplified Chinese (China)
garodanew,Russian,"English (UK),Japanese,Tatar,Basque,Ainu,Cherokee"
makhmoodjaan2015,"Uzbek,Russian",Japanese
emily0988667025,Traditional Chinese (Taiwan),Korean
milenush,Russian,English (UK)
lukasz1108,Polish,"English (US),Thai,German,Spanish (Spain)"
LotDog,Russian,English (US)
Ampop,Japanese,English (US)
genseiji,Japanese,English (US)
wiktoriabal,Polish,English (US)
jh0,Korean,English (US)
Earie,Polish,"English (US),Spanish (Spain)"
U_suke,Japanese,"English (US),French (France)"
Michaltoja,Polish,"Dutch,English (US)"
annwar,"English (US),Tagalog","Arabic,English (US),Hindi"
fernandoandrade,Spanish (Spain),English (US)
Persepha,Russian,"English (US),Japanese"
LearningLanguage,Turkish,Japanese
imonlyhalfevil,"English (US),Polish","English (US),German"
twistedowa,Polish,"English (US),Russian"
SYSTEMFEHLER,Russian,English (US)
Aygiza,"Russian,Tatar",English (US)
sunflower0499,Russian,"English (US),Korean"
WicziMin,Polish,"English (US),French (France),Japanese,Korean,Traditional Chinese (Hong Kong)"
evita28928642,Traditional Chinese (Taiwan),"English (US),Korean"
hakanceyhan,"English (US),Turkish","English (US),English (UK)"
angellopez,English (US),"Japanese,Korean,Laotian,Mongolian,Romanian,Spanish (Mexico),Spanish (Spain),Swedish,Tagalog,Thai,Vietnamese"
maurilevma,Spanish (Chile),"English (US),Japanese,Simplified Chinese (China)"
merawki,Portuguese (Brazil),"English (US),Korean"
Rebe05,Spanish (Spain),English (UK)
Icantspeakenglish,Polish,English (US)
Louise_wi,Russian,Norwegian (bokmal)
lingying6,English (US),English (US)
Rytmas,Polish,"English (US),Russian,Bulgarian,French (France),Hindi,Zulu"
fabioabm91,Spanish (Colombia),English (US)
dajucama,Spanish (Colombia),English (UK)
istmefidan,Azerbaijani,English (US)
crisarrahcorral07,Tagalog,"English (US),French (France)"
matiasparma77,Spanish (Spain),English (US)
abdullh958,Arabic,English (US)
ThaisS2_19,Portuguese (Brazil),Korean
luciam2211666,Spanish (Spain),Spanish (Colombia)
xE7qh,Arabic,English (US)
abdo_m_salem,Arabic,"English (US),Italian,Turkish"
yumeki3,Simplified Chinese (China),Japanese
dogs62006,Traditional Chinese (Taiwan),Japanese
Chrystal,English (US),Tagalog
iggyx,"English (UK),Polish","English (US),Italian,Japanese,Spanish (Spain),Vietnamese"
kajkosh,Polish,English (US)
TranHuong,Vietnamese,"English (US),Japanese"
doomkaaaaa,Polish,"English (UK),Russian"
shekaynah1,Tagalog,"French (France),Italian,Malay,Traditional Chinese (Hong Kong),Korean"
johnbantigue,"English (UK),English (US)","Tagalog,French (France)"
arisorajump,Japanese,Korean
boka,Traditional Chinese (Taiwan),Japanese
Cnrknwy,"Bulgarian,Turkish","English (US),Finnish,Russian,Spanish (Spain)"
wwaht,"English (UK),Polish","English (UK),English (US),Spanish (Spain)"
alyssadaguro23,"English (US),Tagalog","French (France),Korean,Spanish (Spain)"
Angela228,Traditional Chinese (Taiwan),English (US)
educ,Spanish (Spain),"English (US),English (UK)"
Melissa_Stetsenko,Russian,Norwegian (bokmal)
jeczendamian,Polish,"English (UK),English (US)"
jenee,English (US),Hawaiian
vidro,Polish,"English (UK),Esperanto,Japanese,Russian"
Helenay,Russian,English (UK)
Helenay,Russian,English (UK)
iammarkpogi,English (US),Tagalog
Aidana888,English (US),English (US)
KPD,"English (US),Tagalog","Arabic,English (US),Korean"
dolceselvatica,Polish,English (US)
alyeva2002,Russian,"English (US),Norwegian (bokmal)"
CrazyAngel33,Polish,English (US)
trawinska,Polish,English (US)
Vergion,Russian,English (US)
jaligan35,Tagalog,"Dutch (Belgium),Japanese,Spanish (Spain)"
olv99,"Indonesian,Malay,English (US)","English (US),German"
verikiu,Spanish (Spain),"English (UK),Japanese"
oscarjhg,Spanish (Spain),English (US)
magtac,Polish,"English (UK),English (US),German,Swedish"
morethanalive0,Turkish,"English (US),German,Portuguese (Brazil)"
JefferyNorthway,English (US),"English (US),Tagalog"
Mag-lee,Portuguese (Brazil),Japanese
vika2401,"English (UK),Russian",English (US)
MingHsuan,"English (US),Traditional Chinese (Taiwan)",English (US)
naydelin_tatiana10,Spanish (Spain),"English (US),French (France),Korean"
Trevor_Waters,Traditional Chinese (Hong Kong),Japanese
NonaDona20,Russian,English (US)
nicolealuna201,English (US),"French (France),Japanese,Spanish (Mexico)"
lamhuuminh,English (US),English (US)
abbas12albadr,Arabic,English (UK)
2kasia12,Polish,"English (US),French (France)"
jdkrhdih,"Portuguese (Brazil),English (US),Portuguese (Portugal)",English (US)
imma1963,,
unikahijaa,"English (US),Tagalog","English (US),Korean,Traditional Chinese (Hong Kong)"
paladont,English (US),"French (France),Japanese,Spanish (Mexico)"
ptegret,Russian,"English (US),Japanese"
MadziaMagic,Polish,"English (UK),English (US),French (France),Italian,Spanish (Spain)"
JanKowa3006,Polish,"English (UK),French (France)"
Alexandru99,Romanian,"English (US),Japanese,Korean,Simplified Chinese (China)"
tafek1811,Polish,English (US)
rafcio16111992,Polish,"English (US),Russian,Spanish (Spain)"
wakeupmarry,Russian,"English (UK),Korean"
vbpost,Russian,English (US)
duckroberutu,Spanish (Spain),"English (US),Japanese"
checarpio30,Tagalog,"English (US),French (Canada),Japanese,Spanish (Spain)"
1007,English (US),Urdu
Klau02,Polish,"English (UK),English (US)"
Lybia,Traditional Chinese (Taiwan),English (US)
BonaChoi,Korean,English (US)
ilyaplitko,Russian,English (US)
Laplancian,English (US),Japanese
Dajahh,English (US),French (France)
Midu315,Japanese,"English (US),French (France)"
Maciasx3,Polish,English (US)
jenny3316,Traditional Chinese (Taiwan),"Japanese,Korean"
airam23,Spanish (Spain),"English (UK),French (France),Italian"
leeNana,"English (US),Indonesian",Korean
glampaulinatv,Polish,English (US)
xiuimastar,Russian,English (US)
xkarod,Polish,"English (US),Spanish (Spain)"
nehring,Korean,"Japanese,English (US)"
PaulinaIvanova,Russian,"English (US),Korean"
Majczi,Polish,English (US)
Rekka,Russian,"English (US),German,Japanese,Simplified Chinese (China)"
DzHadjer,"Arabic,English (US),French (France)","Japanese,Korean,Spanish (Spain),Turkish"
Ashyua,"English (UK),Polish","English (UK),Japanese"
sissi1195,Italian,"English (US),French (France),Simplified Chinese (China),Spanish (Spain)"
anajill925,Tagalog,"English (US),Arabic,Dutch (Belgium),French (France),Japanese,Korean,Dutch,Italian"
mado78,Arabic,English (US)
iamsabin,"English (US),Nepali",Japanese
Heminio,Spanish (Spain),"English (US),French (France)"
rainakey,Indonesian,"English (UK),Hindi"
Fran50,English (UK),Italian
mamekimura,Japanese,German
aceveda,Spanish (Spain),English (US)
angelwings,Vietnamese,Japanese
beeforcow,"English (US),Hungarian",Spanish (Spain)
Dream191395,"English (US),Russian",English (US)
Kinga94100,Polish,English (US)
JAJAmoves,"English (US),Tagalog","English (US),Korean"
ndjdhdjdjrjkefjd,Russian,Japanese
Young4ever,Portuguese (Brazil),"English (US),Korean"
aselsuj,Russian,Simplified Chinese (China)
Tvoyamrazka,Russian,English (US)
Rosalindi,Polish,"English (UK),German"
rajbharamit479,Hindi,English (US)
graywolf31216,Ukrainian,English (UK)
DRavenO,"English (US),Vietnamese","English (US),Japanese"
MadFa1ry,Russian,English (UK)
SuperMonster,Polish,Polish
ssswy5408,Traditional Chinese (Taiwan),Japanese
hanaflss,Japanese,"English (US),Korean"
Nhidinh,Vietnamese,English (US)
jack_cameron,German,"Dutch,English (UK),French (France),Italian,Spanish (Spain)"
TheEvening__,Japanese,English (US)
mhedtelladorable,English (US),"Arabic,French (Canada),French (France),Hindi"
arlandeleon,English (US),"Arabic,Spanish (Spain)"
honeyandthemoon,English (US),"Spanish (Spain),Tagalog"
Ambyyy,Spanish (Spain),English (US)
Pyrolia,"English (US),French (Canada)","Japanese,Korean"
Sam96,Spanish (Spain),Japanese
playmaker,Portuguese (Brazil),"English (US),French (France),Swedish"
mariushpancake,Polish,"English (US),Hungarian"
inna652934,Russian,"English (US),French (France)"
reinee,"English (US),Indonesian","French (France),Japanese,Korean,Italian"
zyxel160,Traditional Chinese (Taiwan),Japanese
Sylwiaso0,Polish,English (US)
chelo1979,Spanish (Chile),"English (US),Finnish,German,Haitian Creole,Japanese,Portuguese (Brazil),Traditional Chinese (Hong Kong)"
Shouin,Polish,"English (UK),Japanese,Korean,Vietnamese"
sheena88,"English (US),Tagalog","Korean,Spanish (Spain)"
brelishley,"English (US),Tagalog","French (France),Japanese,Korean"
fukusuke,Thai,"English (US),Japanese"
biscuitbirb,English (US),Japanese
LeandroMancilla,Spanish (Mexico),Japanese
joanne1110,"Traditional Chinese (Taiwan),Simplified Chinese (China)",Korean
katarzynalochowska,Polish,"English (US),Japanese,Korean"
OskarSa,Polish,English (US)
tatanalobos,Russian,English (US)
greatluckygirl,Tagalog,"English (US),German,Malay"
chucchuc2203,English (US),Korean
julia1994,Russian,"English (US),Korean"
Ler_scout,English (US),English (US)
rochan1,Russian,"English (US),French (France)"
natharius,Polish,"English (US),Japanese,Korean"
Asiiula123,Polish,English (UK)
haolahaola,Korean,"English (US),Traditional Chinese (Taiwan)"
TimPeterson,English (US),Norwegian (bokmal)
Maja12,Polish,"English (UK),English (US)"
kerolin_rant,Russian,"English (US),French (France)"
birby,English (US),English (US)
sayumiso,Japanese,"English (US),Korean,Traditional Chinese (Taiwan)"
Ihubix,Polish,English (US)
ryanorcs,"Traditional Chinese (Hong Kong),Simplified Chinese (China)",English (US)
nawrassa09,Arabic,"English (UK),Korean"
Jhustin,"English (US),Tagalog","English (US),French (France),Italian,Japanese"
alquimistadeacero07,Spanish (Colombia),English (US)
Irina_Rin,Russian,"English (UK),Japanese,Korean"
Carmela611,English (US),French (France)
dinamit0,Russian,"Korean,English (US)"
kanokanokanon,Japanese,English (UK)
melody0130,Korean,English (US)
polishgirl1,"English (UK),Polish","Italian,Turkish,Zulu"
haruquita,Japanese,Spanish (Mexico)
emilykristinaer,Spanish (Spain),English (US)
gedorev,English (US),"Japanese,Korean"
NiktCiekawyy,Polish,English (US)
RufinaAbd,Russian,"Korean,English (US)"
ishipit117,Polish,"English (UK),Japanese,Simplified Chinese (China),Spanish (Colombia)"
Ryszard,Polish,English (US)
ReginaKarla,"English (US),Tagalog","Arabic,Danish,Dutch,English (US),French (France),German,Greek,Hindi,Indonesian,Japanese,Korean,Portuguese (Brazil),Russian,Spanish (Spain),Swedish,Thai,Vietnamese"
jungminkook,English (UK),"Korean,Japanese"
abdelali1412,Arabic,"English (UK),French (France),Korean"
Zainab2015,Arabic,English (US)
blackbird1102,Japanese,English (US)
DebbieMara,Spanish (Chile),"English (UK),English (US)"
Natalia_x,Polish,"English (UK),English (US)"
fyoon12ma,English (US),English (US)
Zlatiina,Russian,English (UK)
JQQ,Korean,French (France)
seyame,Arabic,Korean
AlinaMnv,Russian,English (UK)
Xena17,English (US),English (US)
edenc,Portuguese (Brazil),English (US)
Jossiemx,Spanish (Mexico),"French (France),Korean"
kkiess,Russian,Norwegian (bokmal)
teddybear0831,Traditional Chinese (Taiwan),"English (US),Korean"
fdut26,Traditional Chinese (Taiwan),"English (US),Korean"
fernandahelena173,Portuguese (Brazil),German
Shiwa,Russian,"French (France),Japanese,Korean,Spanish (Spain)"
okokokok,Polish,Polish
Nadegda,Russian,"English (US),Korean,Spanish (Spain)"
Maruchy,Spanish (Spain),"English (US),French (France),Japanese"
gajdejkristina,"Armenian,Russian","English (US),French (France),Norwegian (bokmal)"
raghlad,"Arabic,English (UK)","English (US),English (UK)"
kuner,Simplified Chinese (China),English (US)
OlgaSt,Russian,Korean
lkudryavcevaaa,Russian,"English (UK),English (US),Finnish,French (France)"
amspereira17,Portuguese (Portugal),Korean
kaczormichal,"English (UK),English (US),Polish","English (UK),English (US),German,Russian"
nabaatya,Arabic,English (US)
ednobody,Russian,Italian
Basior,Polish,"English (UK),English (US),Japanese,Russian"
Szyszqaaa,Polish,"Armenian,English (US),Finnish,Norwegian (bokmal),Russian"
liquer,Japanese,English (US)
angelivan1999saocho,Spanish (Mexico),English (US)
cyril233,Simplified Chinese (China),"English (US),Japanese"
MartaPoland,"English (UK),Polish",English (UK)
ClaudioGarrido,Spanish (Chile),Korean
andresypatricia,Spanish (Colombia),English (US)
jacutamora,"English (US),Tagalog","French (France),Japanese,Simplified Chinese (China)"
Kimartienda0,Tagalog,"English (US),Japanese,Korean,Simplified Chinese (China)"
HeroofOlympus,Polish,"English (US),German"
525129,Korean,"English (UK),English (US),Japanese,Simplified Chinese (China)"
rodrigo90,Spanish (Spain),English (US)
barceloc,English (US),"Spanish (Colombia),Spanish (Spain)"
Basket_14,Traditional Chinese (Taiwan),"English (US),Japanese"
BellyLau,"Traditional Chinese (Hong Kong),Simplified Chinese (China)","English (UK),French (France),English (US)"
Aksiniya,Russian,English (UK)
Bylickaa94,Polish,English (US)
milanamalusina4216,Russian,"English (US),French (Canada)"
sanv,Korean,English (US)
__killjoy_,"Russian,Ukrainian","English (US),German,Japanese,Korean"
HIFRA,Japanese,German
You-You,Japanese,"English (US),French (France)"
funfun19,Japanese,English (US)
ninak34,Polish,English (UK)
Masha_Kuvyrkova,Russian,Japanese
additional,English (US),"French (France),Japanese"
E06t,Japanese,English (US)
ihernandezl,Spanish (Mexico),English (US)
wintime,English (US),English (US)
Alexander_Zoz,Russian,English (US)
cyberlee111,"English (US),Traditional Chinese (Hong Kong)",English (US)
haoyuhong,Simplified Chinese (China),"English (UK),English (US),French (France)"
krasendo,Polish,"English (US),German"
KaQeL,Polish,"English (US),German"
cyg,Polish,"Czech,English (US),Portuguese (Portugal),Ukrainian,German"
TranPlinh,Vietnamese,English (US)
erwinbelsondra21,English (US),"Arabic,Spanish (Spain)"
yomiyumi,Polish,"English (UK),Korean,Russian,Simplified Chinese (China)"
kar0laa,Polish,"English (UK),Korean,Russian"
juliocriss,Spanish (Mexico),English (US)
IvI2020,Russian,"English (UK),English (US)"
PudrowaStrona,Polish,"English (US),French (France)"
Gratti,"Portuguese (Brazil),Portuguese (Portugal)",English (US)
iskander8794,Russian,"English (UK),Esperanto,French (France),German,Italian,Japanese,Klingon,Simplified Chinese (China),Spanish (Spain),Traditional Chinese (Hong Kong)"
Em-em,Tagalog,Arabic
TNicole0997,English (US),"Japanese,Korean"
mateuszmig98,Polish,"English (US),German"
EkaterinaGrivnak,Russian,English (US)
Szyszka1999,Polish,"English (US),German,Japanese"
Sweet_Slipper,Polish,German
afraley,English (US),Japanese
piorasso,Polish,English (US)
Eugenio_Lopez,Spanish (Mexico),"English (UK),English (US),German"
mechaboy,English (US),German
jojozwz,Polish,"English (US),German"
nina15,Polish,Spanish (Spain)
carrieferrer,Tagalog,"English (US),German,Italian,Japanese,Korean,Spanish (Mexico),Spanish (Spain)"
chengzhier,Simplified Chinese (China),"English (UK),English (US)"
satton91,Russian,English (US)
mur33,Russian,Korean
MITJPVN,English (US),English (US)
keithesteele,English (US),"Indonesian,Tagalog"
Gabccarvalho,Portuguese (Brazil),French (France)
MarcinJem,Polish,English (US)
lmngulieva,"Azerbaijani,Turkish",English (US)
MichelleBR,English (US),English (US)
Christian_deJesus08,"English (US),Tagalog","Japanese,Korean,Latin,Spanish (Spain)"
AlexandraK,Russian,English (US)
brendaa1008,Spanish (Chile),"English (US),Japanese"
Natu15G,Spanish (Spain),"English (US),Korean"
teabreak,Japanese,Simplified Chinese (China)
Anasta12,Russian,English (US)
suvd,Mongolian,"English (US),Japanese"
maiasz,Polish,Italian
mazahimnizam,English (UK),Arabic
zulikhabello,English (US),"Arabic,Bengali,French (France),Simplified Chinese (China),Spanish (Spain)"
Julia_Bujak,Polish,"English (US),Japanese,French (France)"
usm_liliya,Russian,"English (US),Korean"
ProKubsonPL,Polish,"English (US),German"
Evgeniya1979,"English (US),Russian","English (US),Italian,Tatar"
suancaiyu,Simplified Chinese (China),"English (US),Japanese"
milaneg,Russian,"English (UK),English (US)"
happyboy,Simplified Chinese (China),"English (US),Japanese,Korean"
kaarolinga23,Polish,English (US)
Rydnet,English (US),"German,Korean,Simplified Chinese (China)"
0g5_1r,Arabic,English (US)
Oliwia558,Polish,"English (US),Spanish (Spain),French (France)"
lence1020,"English (US),Tagalog",Korean
OlgaRy,Russian,English (UK)
lei_ramos,English (US),"English (UK),French (Canada)"
Jared-liu,English (US),English (US)
kroomyalhatemi,Arabic,"English (US),Korean"
Brandonbf77,Spanish (Mexico),"English (UK),English (US)"
jamilbrenes88,English (US),Spanish (Spain)
evie34099,English (US),"French (France),Italian,Kiswahili"
AnValerie_,English (US),"French (Canada),Japanese,Korean"
domi47476,Polish,"English (US),German"
angelinafabiyan,"Russian,Ukrainian","English (UK),Turkish"
arisu14765,Portuguese (Brazil),"Japanese,Korean"
Vilda,Russian,"English (UK),Norwegian (bokmal)"
jovilinm,English (US),English (US)
anabelmorocho43,Spanish (Spain),"English (US),Korean,Norwegian (bokmal)"
3vanwanders,"English (UK),Malay","French (France),Spanish (Spain),Tagalog"
SanSGore,"Spanish (Chile),Spanish (Mexico),Spanish (Spain)","English (US),Japanese"
Marianlicious_x,Tagalog,English (US)
Suzanne16,Polish,"English (UK),English (US),German,Simplified Chinese (China)"
TrickVic,Russian,English (US)
MariaByikli,Russian,"Korean,Spanish (Spain)"
Mcswaggers,English (UK),"Japanese,Latin"
NiTzz,English (US),English (US)
hupernikao,English (US),Japanese
ramirezdaira,Spanish (Chile),"English (US),Japanese,Korean,Traditional Chinese (Hong Kong)"
fernandosanzcesc,Spanish (Mexico),"English (US),French (France)"
Anasta-siia,Russian,"English (US),Simplified Chinese (China)"
imiftahov,Russian,English (US)
antama,Japanese,"English (US),Korean"
doh,Korean,"English (US),Japanese"
kttctt,Japanese,English (US)
Ayamirakuru0,Arabic,Korean
sve772008,Russian,"Georgian,Norwegian (bokmal)"
el_levinaa,Russian,"English (US),Norwegian (bokmal),Spanish (Spain)"
dimonkryu4ckov,Russian,English (UK)
Hidake,Japanese,English (US)
MajkaK,Polish,"English (UK),English (US),Swedish"
sok,Mongolian,"English (US),Korean"
Manjioko,Simplified Chinese (China),English (US)
fayeEngel16,"English (US),Tagalog","English (US),Japanese,Korean,Spanish (Mexico)"
D-work,Russian,"English (UK),English (US),Irish"
masya2014lee,Russian,English (US)
Mawary,Polish,"English (US),German,Russian"
danielFrr,Russian,"English (US),German"
gelivable515,Simplified Chinese (China),English (US)
thumble,English (US),Simplified Chinese (China)
simyung88,Korean,English (US)
liquitaaah02,Spanish (Spain),Korean
nio_fairy,Traditional Chinese (Taiwan),"English (US),French (France),Japanese"
gamazi,Arabic,English (US)
marshmallowb,French (France),"English (US),Italian,Korean"
mymona,Swedish,Italian
6ounties,"Russian,Ukrainian","English (UK),English (US)"
95twinkle,Japanese,Korean
brendaluna449,Spanish (Spain),English (US)
arielrv,Spanish (Spain),"English (US),Russian"
seukie,English (US),English (US)
quocdata,Vietnamese,"French (France),English (UK)"
Amyzhang,Simplified Chinese (China),English (US)
ArtsticDoggo,Polish,"English (US),Norwegian (bokmal),Norwegian (nynorsk),Vietnamese"
ruby__,Traditional Chinese (Taiwan),English (US)
My5perfcts,Spanish (Spain),English (US)
YOO_YOO_123,Arabic,English (US)
jesusfsantosc,Spanish (Mexico),"English (US),Italian"
franb,Spanish (Spain),"Norwegian (bokmal),English (UK)"
aleksandrabanoth,Polish,"English (US),French (France)"
limbunuwel,"English (UK),Nepali",Korean
moss33,Danish,English (US)
Nicolaxx86,Italian,English (UK)
oreon,Russian,"French (France),Japanese"
joannecriselda,"English (US),Tagalog",Spanish (Spain)
reZigiusz,Polish,Polish
boss19931994,Russian,English (US)
elyakhalbaeva4490,Russian,Korean
wesleypena,Portuguese (Portugal),Japanese
gumihotaru,Spanish (Mexico),Japanese
fjjjjj_12,Arabic,English (US)
kingfox74146,Russian,"Armenian,English (US),Korean"
enidsilvana,Spanish (Mexico),English (US)
Natkaaa809,Polish,"English (US),Japanese"
eloisamq,Spanish (Spain),Korean
donutdaf,Russian,"English (US),Korean,Spanish (Spain)"
junk06,Russian,Korean
parkchaeyo,English (US),"Korean,Spanish (Spain)"
ha_11jo,English (US),English (US)
t2008com,Spanish (Spain),English (US)
Tsukeru,"English (US),Japanese","Japanese,Korean,Traditional Chinese (Hong Kong),Traditional Chinese (Taiwan),Thai"
Dona_wqu,Arabic,English (US)
cammahjo,Polish,"English (US),Japanese"
AraArdo,Kurdish,"English (US),Arabic,Turkish,German"
lcarbonel,English (US),"French (Canada),French (France),Hawaiian,Japanese,Spanish (Mexico),Tagalog"
YUNYAN_Trista,Traditional Chinese (Taiwan),"English (US),German"
miguelfernandez,Spanish (Spain),Japanese
mememmeme,Arabic,English (US)
ryuyou,Simplified Chinese (China),Japanese
LastPolska,Polish,Spanish (Spain)
daniel3gan01,Spanish (Spain),"English (US),German"
leen_qwa,Arabic,English (US)
dominikabogusz,Polish,"English (US),German"
OjipanQQ,Japanese,"Simplified Chinese (China),English (US),Traditional Chinese (Taiwan),Korean,Italian"
JONA_,"English (US),Tagalog","French (Canada),Japanese,Korean,Thai"
stephanierrcanada,Simplified Chinese (China),"English (US),Arabic,French (Canada),Japanese,Korean"
Elllyyya,"Azeri,Russian,Turkish","English (US),German"
Asixacz,Polish,English (UK)
AyanoTsuki,Polish,"English (UK),Japanese"
meriam278,English (US),Thai
Anna33,Russian,"English (US),Italian"
Yavuzata,Turkish,Russian
ERICROSS,Traditional Chinese (Taiwan),"English (UK),Japanese"
nikdekky,Russian,"English (UK),Ukrainian"
AlaLi,Polish,"English (US),German"
hieratycznypragmatyk,Polish,"English (US),Spanish (Spain)"
magda13,Polish,"English (UK),Spanish (Spain)"
childprodigy0,Polish,German
vikka,Russian,Korean
wonderwall,"Polish,Russian","English (US),Japanese"
EsDeath,Russian,English (US)
Genki__,Japanese,"English (US),Korean"
SaraSaruss,Polish,"English (UK),French (France),German,Spanish (Spain),Vietnamese,Polish"
lgfrancechi798,Spanish (Spain),English (UK)
laumarco12,Traditional Chinese (Hong Kong),"English (UK),English (US)"
leeyanmerra,English (US),Spanish (Spain)
Airtwisted,"English (US),Tagalog","Arabic,Japanese"
ariessaloy1,English (US),English (US)
Pomoclanguage,Polish,English (US)
mayhk,Traditional Chinese (Hong Kong),"English (UK),Japanese"
knataliak,Polish,English (US)
Jiwoon,Vietnamese,English (US)
ozgendikmen,Turkish,"English (US),German"
