Popularity Results
==================


Native Languages
===================

English (US)                      8483 17.320%
Russian                           6596 13.467%
Arabic                            6318 12.899%
Malayalam                           16  0.033%
Punjabi                             14  0.029%
Estonian                            13  0.027%
Guarani                             12  0.025%
Galician                            12  0.025%
Norwegian (nynorsk)                 12  0.025%
Basque                              11  0.022%
Slovenian                            9  0.018%
Tajik                                8  0.016%
Latin                                7  0.014%
Pashto                               7  0.014%
Hawaiian                             7  0.014%
Kiswahili                            7  0.014%
Marathi                              6  0.012%
Khmer                                6  0.012%
Gujarati                             6  0.012%
Macedonian                           6  0.012%
Laotian                              5  0.010%
Irish                                5  0.010%
Ainu                                 5  0.010%
Quechua                              4  0.008%
Welsh                                4  0.008%
Tibet                                3  0.006%
Aymara                               3  0.006%
Zulu                                 2  0.004%
Syriac                               2  0.004%
Sanskrit                             2  0.004%
Cherokee                             1  0.002%
Esperanto                            1  0.002%
Frisian                              1  0.002%
Kannada                              1  0.002%
Icelandic                            1  0.002%
Faroese                              1  0.002%

Languages of Interests
==========================

English (US)                     28619 58.431%
Japanese                         11771 24.033%
Korean                            9996 20.409%
English (UK)                      6457 13.183%
French (France)                   4642  9.478%
German                            3781  7.720%
Spanish (Spain)                   3076  6.280%
Italian                           1871  3.820%
Russian                           1833  3.742%
Simplified Chinese (China)        1631  3.330%
Arabic                             857  1.750%
Turkish                            696  1.421%
Norwegian (bokmal)                 639  1.305%
Spanish (Mexico)                   615  1.256%
Portuguese (Brazil)                520  1.062%
Traditional Chinese (Hong Kong)    488  0.996%
Norwegian (nynorsk)                397  0.811%
Vietnamese                         375  0.766%
French (Canada)                    367  0.749%
Traditional Chinese (Taiwan)       366  0.747%
Polish                             337  0.688%
Thai                               329  0.672%
Swedish                            305  0.623%
Dutch                              296  0.604%
Portuguese (Portugal)              254  0.519%
Latin                              249  0.508%
Tagalog                            211  0.431%
Greek                              182  0.372%
Czech                              173  0.353%
Hebrew                             164  0.335%
Hindi                              160  0.327%
Finnish                            155  0.316%
Ukrainian                          151  0.308%
Spanish (Colombia)                 151  0.308%
Danish                             132  0.270%
Irish                              110  0.225%
Spanish (Chile)                    105  0.214%
Indonesian                          95  0.194%
Icelandic                           85  0.174%
Catalan                             82  0.167%
Malay                               76  0.155%
Spanish (Venezuela)                 70  0.143%
Esperanto                           68  0.139%
Hungarian                           65  0.133%
Belarusian                          64  0.131%
Kazakh                              63  0.129%
Armenian                            62  0.127%
Romanian                            61  0.125%
Persian                             56  0.114%
Croatian                            53  0.108%
Dutch (Belgium)                     49  0.100%
Hawaiian                            48  0.098%
Serbian                             44  0.090%
Bulgarian                           35  0.071%
Lithuanian                          33  0.067%
Georgian                            31  0.063%
Estonian                            29  0.059%
Afrikaans                           28  0.057%
Urdu                                28  0.057%
Welsh                               27  0.055%
Mongolian                           26  0.053%
Slovak                              25  0.051%
Albanian                            25  0.051%
Azerbaijani                         24  0.049%
Quechua                             23  0.047%
Klingon                             23  0.047%
Sanskrit                            21  0.043%
Kiswahili                           21  0.043%
Tatar                               20  0.041%
Bosnian                             19  0.039%
Cherokee                            17  0.035%
Yiddish                             17  0.035%
Kurdish                             17  0.035%
Kannada                             17  0.035%
Javanese                            16  0.033%
Bengali                             16  0.033%
Punjabi                             15  0.031%
Galician                            14  0.029%
Nepali                              13  0.027%
Khmer                               13  0.027%
Zulu                                12  0.025%
Tamil                               12  0.025%
Malayalam                           12  0.025%
Latvian                             11  0.022%
Haitian Creole                      11  0.022%
Uzbek                               11  0.022%
Aymara                              11  0.022%
Tibet                                9  0.018%
Azeri                                9  0.018%
Macedonian                           9  0.018%
Basque                               8  0.016%
Slovenian                            8  0.016%
Faroese                              7  0.014%
Frisian                              7  0.014%
Laotian                              7  0.014%
Somali                               6  0.012%
Guarani                              6  0.012%
Ainu                                 6  0.012%
Syriac                               4  0.008%
Slavic                               4  0.008%
Pashto                               4  0.008%
Tajik                                4  0.008%
Northern Sami                        4  0.008%
Telugu                               3  0.006%
Tongan                               3  0.006%
Xhosa                                3  0.006%
Gujarati                             3  0.006%
Malagasy                             2  0.004%
Maltese                              2  0.004%
Romansh                              2  0.004%
Limburgish                           2  0.004%
Marathi                              1  0.002%
